Player Name,Year
Ty Cobb,1936
Walter Johnson,1936
Christy Mathewson,1936
Babe Ruth,1936
Honus Wagner,1936
Nap Lajoie,1937
Connie Mack,1937
John McGraw,1937
Tris Speaker,1937
George Wright,1937
Cy Young,1937
Morgan Bulkeley,1937
Ban Johnson,1937
Pete Alexander,1938
Alexander Cartwright,1938
Henry Chadwick,1938
Cap Anson,1939
Eddie Collins,1939
Charlie Comiskey,1939
Candy Cummings,1939
Buck Ewing,1939
Lou Gehrig,1939
Willie Keeler,1939
Old Hoss Radbourn,1939
George Sisler,1939
Al Spalding,1939
Rogers Hornsby,1942
Kenesaw Mountain Landis,1944
Roger Bresnahan,1945
Dan Brouthers,1945
Fred Clarke,1945
Jimmy Collins,1945
Ed Delahanty,1945
Hugh Duffy,1945
Hughie Jennings,1945
King Kelly,1945
Jim O'Rourke,1945
Wilbert Robinson,1945
Jesse Burkett,1946
Frank Chance,1946
Jack Chesbro,1946
Johnny Evers,1946
Clark Griffith,1946
Tommy McCarthy,1946
Joe McGinnity,1946
Eddie Plank,1946
Joe Tinker,1946
Rube Waddell,1946
Ed Walsh,1946
Mickey Cochrane,1947
Frankie Frisch,1947
Lefty Grove,1947
Carl Hubbell,1947
Herb Pennock,1948
Pie Traynor,1948
Mordecai Brown,1949
Charlie Gehringer,1949
Kid Nichols,1949
Jimmie Foxx,1951
Mel Ott,1951
Harry Heilmann,1952
Paul Waner,1952
Ed Barrow,1953
Chief Bender,1953
Tommy Connolly,1953
Dizzy Dean,1953
Bill Klem,1953
Al Simmons,1953
Bobby Wallace,1953
Harry Wright,1953
Bill Dickey,1954
Rabbit Maranville,1954
Bill Terry,1954
Home Run Baker,1955
Joe DiMaggio,1955
Gabby Hartnett,1955
Ted Lyons,1955
Ray Schalk,1955
Dazzy Vance,1955
Joe Cronin,1956
Hank Greenberg,1956
Sam Crawford,1957
Joe McCarthy,1957
Zack Wheat,1959
Max Carey,1961
Billy Hamilton,1961
Bob Feller,1962
Bill McKechnie,1962
Jackie Robinson,1962
Edd Roush,1962
John Clarkson,1963
Elmer Flick,1963
Sam Rice,1963
Eppa Rixey,1963
Luke Appling,1964
Red Faber,1964
Burleigh Grimes,1964
Miller Huggins,1964
Tim Keefe,1964
Heinie Manush,1964
Monte Ward,1964
Pud Galvin,1965
Casey Stengel,1966
Ted Williams,1966
Branch Rickey,1967
Red Ruffing,1967
Lloyd Waner,1967
Kiki Cuyler,1968
Goose Goslin,1968
Joe Medwick,1968
Roy Campanella,1969
Stan Coveleski,1969
Waite Hoyt,1969
Stan Musial,1969
Lou Boudreau,1970
Earle Combs,1970
Jesse Haines,1970
Ford Frick,1970
Dave Bancroft,1971
Jake Beckley,1971
Chick Hafey,1971
Harry Hooper,1971
Joe Kelley,1971
Rube Marquard,1971
Satchel Paige,1971
George Weiss,1971
Yogi Berra,1972
Lefty Gomez,1972
Sandy Koufax,1972
Early Wynn,1972
Ross Youngs,1972
Josh Gibson,1972
Will Harridge,1972
Buck Leonard,1972
Roberto Clemente,1973
Billy Evans,1973
Monte Irvin,1973
High Pockets Kelly,1973
Warren Spahn,1973
Mickey Welch,1973
Jim Bottomley,1974
Jocko Conlan,1974
Whitey Ford,1974
Mickey Mantle,1974
Sam Thompson,1974
Cool Papa Bell,1974
Earl Averill,1975
Bucky Harris,1975
Billy Herman,1975
Ralph Kiner,1975
Judy Johnson,1975
Roger Connor,1976
Cal Hubbard,1976
Bob Lemon,1976
Freddie Lindstrom,1976
Robin Roberts,1976
Oscar Charleston,1976
Ernie Banks,1977
Al Lopez,1977
Amos Rusie,1977
Joe Sewell,1977
Martin Dihigo,1977
Pop Lloyd,1977
Addie Joss,1978
Eddie Mathews,1978
Larry MacPhail,1978
Willie Mays,1979
Hack Wilson,1979
Warren Giles,1979
Al Kaline,1980
Chuck Klein,1980
Duke Snider,1980
Tom Yawkey,1980
Bob Gibson,1981
Johnny Mize,1981
Rube Foster,1981
Hank Aaron,1982
Travis Jackson,1982
Frank Robinson,1982
Happy Chandler,1982
Walter Alston,1983
George Kell,1983
Juan Marichal,1983
Brooks Robinson,1983
Luis Aparicio,1984
Don Drysdale,1984
Rick Ferrell,1984
Harmon Killebrew,1984
Pee Wee Reese,1984
Lou Brock,1985
Enos Slaughter,1985
Arky Vaughan,1985
Hoyt Wilhelm,1985
Bobby Doerr,1986
Ernie Lombardi,1986
Willie McCovey,1986
Catfish Hunter,1987
Billy Williams,1987
Ray Dandridge,1987
Willie Stargell,1988
Al Barlick,1989
Johnny Bench,1989
Red Schoendienst,1989
Carl Yastrzemski,1989
Joe Morgan,1990
Jim Palmer,1990
Rod Carew,1991
Fergie Jenkins,1991
Tony Lazzeri,1991
Gaylord Perry,1991
Bill Veeck,1991
Rollie Fingers,1992
Bill McGowan,1992
Hal Newhouser,1992
Tom Seaver,1992
Reggie Jackson,1993
Steve Carlton,1994
Leo Durocher,1994
Phil Rizzuto,1994
Richie Ashburn,1995
Mike Schmidt,1995
Vic Willis,1995
Leon Day,1995
William Hulbert,1995
Jim Bunning,1996
Ned Hanlon,1996
Earl Weaver,1996
Bill Foster,1996
Nellie Fox,1997
Tom Lasorda,1997
Phil Niekro,1997
Willie Wells,1997
George Davis,1998
Larry Doby,1998
Don Sutton,1998
Lee MacPhail,1998
Joe Rogan,1998
George Brett,1999
Orlando Cepeda,1999
Nestor Chylak,1999
Nolan Ryan,1999
Frank Selee,1999
Robin Yount,1999
Joe Williams,1999
Sparky Anderson,2000
Carlton Fisk,2000
Bid McPhee,2000
Tony Perez,2000
Turkey Stearnes,2000
Bill Mazeroski,2001
Kirby Puckett,2001
Dave Winfield,2001
Hilton Smith,2001
Ozzie Smith,2002
Gary Carter,2003
Eddie Murray,2003
Dennis Eckersley,2004
Paul Molitor,2004
Wade Boggs,2005
Ryne Sandberg,2005
Willard Brown,2006
Bruce Sutter,2006
Ray Brown,2006
Andy Cooper,2006
Frank Grant,2006
Pete Hill,2006
Biz Mackey,2006
Effa Manley,2006
Jose Mendez,2006
Alex Pompez,2006
Cum Posey,2006
Louis Santop,2006
Mule Suttles,2006
Ben Taylor,2006
Cristobal Torriente,2006
Sol White,2006
J.L. Wilkinson,2006
Jud Wilson,2006
Tony Gwynn,2007
Cal Ripken,2007
Rich Gossage,2008
Billy Southworth,2008
Dick Williams,2008
Barney Dreyfuss,2008
Bowie Kuhn,2008
Walter O'Malley,2008
Joe Gordon,2009
Rickey Henderson,2009
Jim Rice,2009
Andre Dawson,2010
Doug Harvey,2010
Whitey Herzog,2010
Roberto Alomar,2011
Bert Blyleven,2011
Pat Gillick,2011
Barry Larkin,2012
Ron Santo,2012
Hank O'Day,2013
Deacon White,2013
Jacob Ruppert,2013
Bobby Cox,2014
Tom Glavine,2014
Tony LaRussa,2014
Greg Maddux,2014
Frank Thomas,2014
Joe Torre,2014
Craig Biggio,2015
Randy Johnson,2015
Pedro Martinez,2015
John Smoltz,2015
Ken Griffey,2016
Mike Piazza,2016
Jeff Bagwell,2017
Tim Raines,2017
Ivan Rodriguez,2017
John Schuerholz,2017
Bud Selig,2017
Vladimir Guerrero,2018
Trevor Hoffman,2018
Chipper Jones,2018
Jack Morris,2018
Jim Thome,2018
Alan Trammell,2018
Harold Baines,2019
Roy Halladay,2019
Edgar Martinez,2019
Mike Mussina,2019
Mariano Rivera,2019
Lee Smith,2019
Derek Jeter,2020
Ted Simmons,2020
Larry Walker,2020
Marvin Mille,2020
