Player Name,AB,G,AB/G
Pete Rose,14053,3562,3.95
Hank Aaron,12364,3298,3.75
Carl Yastrzemski,11988,3308,3.62
Cal Ripken,11551,3001,3.85
Ty Cobb,11440,3034,3.77
Eddie Murray,11336,3026,3.75
Derek Jeter,11195,2747,4.08
Adrian Beltre,11068,2933,3.77
Robin Yount,11008,2856,3.85
Dave Winfield,11003,2973,3.70
Stan Musial,10972,3026,3.63
Rickey Henderson,10961,3081,3.56
Willie Mays,10881,2992,3.64
Craig Biggio,10876,2850,3.82
Albert Pujols,10839,2862,3.79
Paul Molitor,10835,2683,4.04
Brooks Robinson,10654,2896,3.68
Omar Vizquel,10586,2968,3.57
Alex Rodriguez,10566,2784,3.80
Rafael Palmeiro,10472,2831,3.70
Honus Wagner,10439,2794,3.74
George Brett,10349,2707,3.82
Lou Brock,10332,2616,3.95
Cap Anson,10281,2524,4.07
Luis Aparicio,10230,2599,3.94
