Player Name,G,G
Pete Rose,3562,3562
Carl Yastrzemski,3308,3308
Hank Aaron,3298,3298
Rickey Henderson,3081,3081
Ty Cobb,3034,3034
Eddie Murray,3026,3026
Stan Musial,3026,3026
Cal Ripken,3001,3001
Willie Mays,2992,2992
Barry Bonds,2986,2986
Dave Winfield,2973,2973
Omar Vizquel,2968,2968
Rusty Staub,2951,2951
Adrian Beltre,2933,2933
Brooks Robinson,2896,2896
Albert Pujols,2862,2862
Robin Yount,2856,2856
Craig Biggio,2850,2850
Al Kaline,2834,2834
Rafael Palmeiro,2831,2831
Harold Baines,2830,2830
Eddie Collins,2826,2826
Reggie Jackson,2820,2820
Frank Robinson,2808,2808
Honus Wagner,2794,2794
