Player Name,OBP,G
Ted Williams,.482,2292
Babe Ruth,.474,2503
John McGraw,.466,1100
Billy Hamilton,.455,1594
Lou Gehrig,.447,2164
Barry Bonds,.444,2986
Bill Joyce,.435,906
Rogers Hornsby,.434,2259
Ty Cobb,.433,3034
Jimmie Foxx,.428,2317
Tris Speaker,.428,2789
Eddie Collins,.424,2826
Ferris Fain,.424,1151
Dan Brouthers,.423,1676
Max Bishop,.423,1338
Shoeless Joe Jackson,.423,1332
Mickey Mantle,.421,2401
Joey Votto,.419,1771
Mickey Cochrane,.419,1482
Frank Thomas,.419,2322
Edgar Martinez,.418,2055
Mike Trout,.418,1252
Stan Musial,.417,3026
Cupid Childs,.416,1457
Wade Boggs,.415,2440
