Player Name,Team,SB,Game
Eddie Collins,PHI,6,9-11-1912
Eddie Collins,PHI,6,9-22-1912
Otis Nixon,ATL,6,6-16-1991
Eric Young,COL,6,6-30-1996
Carl Crawford,TB,6,5-3-2009
Dan McGann,NY,5,5-27-1904
Eddie Collins,PHI,5,5-18-1912
Clyde Milan,WAS,5,6-14-1912
Vin Campbell,IND,5,8-16-1914
Johnny Neun,DET,5,7-9-1927
Amos Otis,KC,5,9-7-1971
Davey Lopes,LA,5,8-24-1974
Bert Campaneris,OAK,5,5-24-1976
Lonnie Smith,STL,5,9-4-1982
Alan Wiggins,SD,5,5-17-1984
Tony Gwynn,SD,5,9-20-1986
Rickey Henderson,OAK,5,7-29-1989
Alex Cole,CLE,5,8-1-1990
Alex Cole,CLE,5,5-3-1992
Damian Jackson,SD,5,6-28-1999
Scarborough Green,TEX,5,9-28-2000
Kenny Lofton,CLE,5,9-3-2000
Eric Young,CHI,5,5-14-2000
Ryan Freel,CIN,5,7-27-2005
Willy Taveras,COL,5,6-14-2008
Dexter Fowler,COL,5,4-27-2009
Jacoby Ellsbury,BOS,5,5-30-2013
Billy Hamilton,CIN,5,6-14-2015
