Player Name,Team,3B,Game
Jimmy Sheckard,BRO,3,4-18-1901
Elmer Flick,CLE,3,7-6-1902
Bill Bradley,CLE,3,7-28-1903
Mike Donlin,CIN,3,9-22-1903
Patsy Dougherty,BOS,3,9-5-1903
Billy Lush,DET,3,9-26-1903
Miller Huggins,CIN,3,10-8-1904
Nap Lajoie,CLE,3,7-13-1904
Dave Brain,STL,3,5-29-1905
Dave Brain,PIT,3,8-8-1905
Pat Moran,BOS,3,8-10-1905
Hal Chase,NY,3,8-30-1906
Chief Wilson,PIT,3,7-24-1911
Shoeless Joe Jackson,CLE,3,6-30-1912
Gus Williams,STL,3,4-24-1913
Jack Lewis,PIT,3,5-7-1914
Al Shaw,KC,3,7-4-1915
Fred Smith,BUF,3,4-27-1915
Ross Youngs,NY,3,5-11-1920
Joe Judge,WAS,3,8-9-1921
Ray Powell,BOS,3,9-27-1921
Charlie Hollocher,CHI,3,8-13-1922
Baby Doll Jacobson,STL,3,9-9-1922
Jim Bottomley,STL,3,5-15-1923
Jackie Tavener,DET,3,9-12-1925
Les Bell,STL,3,9-22-1926
Earle Combs,NY,3,9-22-1927
Charlie Gehringer,DET,3,8-5-1929
Lance Richbourg,BOS,3,7-31-1929
Joe Kuhel,WAS,3,5-13-1937
Joe DiMaggio,NY,3,8-27-1938
Ben Chapman,CLE,3,7-3-1939
Carlos Bernier,PIT,3,5-2-1953
Danny O'Connell,MIL,3,6-13-1956
Roberto Clemente,PIT,3,9-8-1958
Willie Mays,SF,3,9-15-1960
Ernie Banks,CHI,3,6-11-1966
Bert Campaneris,KC,3,8-29-1967
Al Bumbry,BAL,3,9-22-1973
Doug Flynn,NY,3,8-5-1980
Ken Landreaux,MIN,3,7-3-1980
Craig Reynolds,HOU,3,5-16-1981
Shawon Dunston,CHI,3,7-28-1990
Herm Winningham,CIN,3,8-15-1990
Lance Johnson,CHI,3,9-23-1995
Rafael Furcal,ATL,3,4-21-2002
Denard Span,MIN,3,6-29-2010
Yasiel Puig,LA,3,7-25-2014
