Player Name,ER,G,ER/G
Cy Young,2147,906,2.37
Phil Niekro,2012,864,2.33
Jamie Moyer,1926,696,2.77
Don Sutton,1914,774,2.47
Nolan Ryan,1911,807,2.37
Pud Galvin,1903,705,2.70
Gus Weyhing,1872,540,3.47
Steve Carlton,1864,741,2.52
Gaylord Perry,1846,777,2.38
Red Ruffing,1833,624,2.94
Bert Blyleven,1830,692,2.64
Warren Spahn,1798,750,2.40
Early Wynn,1796,691,2.60
Robin Roberts,1774,676,2.62
Greg Maddux,1756,744,2.36
Tommy John,1749,760,2.30
Jim Kaat,1738,898,1.94
Tom Glavine,1734,682,2.54
Earl Whitehill,1726,541,3.19
Roger Clemens,1707,709,2.41
Frank Tanana,1704,638,2.67
Ted Lyons,1696,594,2.86
Fergie Jenkins,1669,664,2.51
Bobo Newsom,1664,600,2.77
Kid Nichols,1664,621,2.68
