Player Name,HR,G,HR/G
Jamie Moyer,522,696,0.75
Robin Roberts,505,676,0.75
Fergie Jenkins,484,664,0.73
Phil Niekro,482,864,0.56
Don Sutton,472,774,0.61
Frank Tanana,448,638,0.70
Bartolo Colon,439,565,0.78
Warren Spahn,434,750,0.58
Bert Blyleven,430,692,0.62
Tim Wakefield,418,627,0.67
Steve Carlton,414,741,0.56
Randy Johnson,411,618,0.67
David Wells,407,660,0.62
Gaylord Perry,399,777,0.51
Jim Kaat,395,898,0.44
Jack Morris,389,549,0.71
Charlie Hough,383,858,0.45
CC Sabathia,382,561,0.68
Tom Seaver,380,656,0.58
Mike Mussina,376,537,0.70
Catfish Hunter,374,500,0.75
Javier Vazquez,373,450,0.83
Jim Bunning,372,591,0.63
Dennis Martinez,372,692,0.54
Roger Clemens,363,709,0.51
