Player Name,IP,G,IP/G
Cy Young,7356,906,8.12
Pud Galvin,6003.1,705,8.52
Walter Johnson,5914.1,802,7.37
Phil Niekro,5404,864,6.25
Nolan Ryan,5386,807,6.67
Gaylord Perry,5350,777,6.89
Don Sutton,5282.1,774,6.82
Warren Spahn,5243.2,750,6.99
Steve Carlton,5217.2,741,7.04
Pete Alexander,5190,696,7.46
Kid Nichols,5067.1,621,8.16
Tim Keefe,5049.2,600,8.42
Greg Maddux,5008.1,744,6.73
Bert Blyleven,4970,692,7.18
Bobby Mathews,4956,578,8.57
Roger Clemens,4916.2,709,6.93
Mickey Welch,4802,565,8.50
Christy Mathewson,4788.2,636,7.53
Tom Seaver,4783,656,7.29
Tommy John,4710.1,760,6.20
Robin Roberts,4688.2,676,6.94
Early Wynn,4564,691,6.60
John Clarkson,4536.1,531,8.54
Tony Mullane,4531.1,555,8.16
Jim Kaat,4530.1,898,5.04
