Player Name,BB,G,BB/G
Nolan Ryan,2795,807,3.46
Steve Carlton,1833,741,2.47
Phil Niekro,1809,864,2.09
Early Wynn,1775,691,2.57
Bob Feller,1764,570,3.09
Bobo Newsom,1732,600,2.89
Amos Rusie,1707,463,3.69
Charlie Hough,1665,858,1.94
Roger Clemens,1580,709,2.23
Gus Weyhing,1570,540,2.91
Red Ruffing,1541,624,2.47
Tom Glavine,1500,682,2.20
Randy Johnson,1497,618,2.42
Bump Hadley,1442,528,2.73
Warren Spahn,1434,750,1.91
Earl Whitehill,1431,541,2.65
Tony Mullane,1408,555,2.54
Sad Sam Jones,1396,647,2.16
Jack Morris,1390,549,2.53
Tom Seaver,1390,656,2.12
Gaylord Perry,1379,777,1.77
Bobby Witt,1375,430,3.20
Mike Torrez,1371,494,2.78
Walter Johnson,1363,802,1.70
Don Sutton,1343,774,1.74
