Player Name,Team,H,Game
Eddie Rommel,PHI,29,7-10-1932
Doc Parker,CIN,26,6-21-1901
Allan Travers,DET,26,5-18-1912
Hod Lisenbee,PHI,26,9-11-1936
Roy Patterson,CHI,25,5-5-1901
Jack Bracken,CLE,24,9-15-1901
George LeClair,PIT,24,8-16-1914
Iron Davis,BOS,24,10-7-1915
Joe Oeschger,PHI,24,4-30-1919
Ted Lyons,CHI,24,5-24-1929
Bock Baker,CLE,23,4-28-1901
Jack Katoll,BAL,23,9-2-1902
Jack Katoll,BAL,23,9-12-1902
Jake Thielman,CLE,23,8-1-1907
Cy Falkenberg,CLE,23,8-16-1910
Tom Sheehan,PHI,23,9-29-1915
Jeff Pfeffer,BRO,23,6-1-1919
